wav_filename,wav_filesize,transcript
./train/waves/VIVOSSPK37/VIVOSSPK37_131.wav,136080,bản thân tôi cho rằng lúc nào gửi tiền đồng cũng là có lợi nhất
./train/waves/VIVOSSPK46/VIVOSSPK46_155.wav,149026,đương nhiên sẽ ảnh hưởng lớn đến vũ khí tinh thần
./train/waves/VIVOSSPK10/VIVOSSPK10_R173.wav,151044,nhưng không phải là cơ chế hay chiến lược chỉ do hội điện ảnh
./train/waves/VIVOSSPK30/VIVOSSPK30_032.wav,273080,do vậy mà không hề còn có biển chỉ dẫn đường đi lối lại và cũng không còn dấu vết của những con đường vốn trước đó đã có
./train/waves/VIVOSSPK25/VIVOSSPK25_051.wav,256080,một chuyên gia nhận định bọn cướp biển ngày càng chuyên nghiệp hung hãn và tinh thông chiến lược hơn
./train/waves/VIVOSSPK39/VIVOSSPK39_076.wav,266080,điều này rất quan trọng cho việc tiếp tục phát triển mối quan hệ kinh tế song phương đang tăng trưởng nhanh giữa mỹ và việt nam
./train/waves/VIVOSSPK40/VIVOSSPK40_048.wav,109026,phố phường hội an ngày tết như khoác lên mình một bộ áo mới
./train/waves/VIVOSSPK33/VIVOSSPK33_019.wav,248080,rồi một ngày chị nhận ra cái mình thiếu chính là lửa với nghề khi điều thực sự khiến chị đam mê là hội họa
./train/waves/VIVOSSPK17/VIVOSSPK17_265.wav,66080,chơi dở tệ mà cứ to mồm
./train/waves/VIVOSSPK45/VIVOSSPK45_227.wav,132026,song những gì tôi sống được có thể nhiều hơn một cuốn sách
./train/waves/VIVOSSPK15/VIVOSSPK15_154.wav,88080,nghĩ lại tại mình khờ
./train/waves/VIVOSSPK06/VIVOSSPK06_R184.wav,138044,nó đã tìm quên nỗi cô đơn của mình
./train/waves/VIVOSSPK05/VIVOSSPK05_R161.wav,127044,nhưng người việt vẫn quen gọi đây là bản mạy
./train/waves/VIVOSSPK46/VIVOSSPK46_251.wav,161026,cô muốn con phải hứa chắc rằng sẽ kể lại cho bố biết
./train/waves/VIVOSSPK38/VIVOSSPK38_283.wav,182080,có lẽ đó cũng là điều làm nhiều tâm hồn reo vui khi một lần đặt chân đến đây
./train/waves/VIVOSSPK17/VIVOSSPK17_268.wav,78080,không thấy tôi đang tìm đối sách sao
./train/waves/VIVOSSPK31/VIVOSSPK31_127.wav,168080,tôi muốn hỏi phòng thuế quận tính thuế như vậy có đúng pháp luật hiện hành không
./train/waves/VIVOSSPK03/VIVOSSPK03_R087.wav,159044,cô hoàn toàn tin tưởng vào những gì mà cô đọc được trên sách báo
./train/waves/VIVOSSPK40/VIVOSSPK40_088.wav,90026,dòng sông xanh của một thời nay vẫn còn vẻ quyến rũ
./train/waves/VIVOSSPK42/VIVOSSPK42_287.wav,102026,bạn có muốn con mình sau này luôn nghi ngờ tình yêu chân thật
./train/waves/VIVOSSPK17/VIVOSSPK17_104.wav,115080,vườn thuốc nam của trường có đủ các loại cây trồng trên luống
./train/waves/VIVOSSPK46/VIVOSSPK46_255.wav,158026,có người bảo đào anh khánh là chỉ có điên mới hồn nhiên đến thế
./train/waves/VIVOSSPK14/VIVOSSPK14_168.wav,129080,ca pin tàu xị xé rách nát toàn hoàn toàn
./train/waves/VIVOSSPK43/VIVOSSPK43_003.wav,96026,nội dung đôi nữ cũng chỉ có bốn cặp tham gia
./train/waves/VIVOSSPK22/VIVOSSPK22_283.wav,98080,thấy em còn nhỏ anh cua để dành
./train/waves/VIVOSSPK05/VIVOSSPK05_R148.wav,126044,chị dung cầm cái rựa riu ríu theo sau
./train/waves/VIVOSSPK17/VIVOSSPK17_118.wav,88080,phim kính vạn hoa được nhiều khán giả yêu thích
./train/waves/VIVOSSPK41/VIVOSSPK41_126.wav,110026,họ không có những chỉ tiêu mang tính cân đo đong đếm
./train/waves/VIVOSSPK12/VIVOSSPK12_R004.wav,106044,thuyền trưởng vội vàng lên buồng lái
./train/waves/VIVOSSPK12/VIVOSSPK12_R098.wav,133044,nhưng tôi không muốn bạn tin tưởng vào bất kỳ điều gì
./train/waves/VIVOSSPK22/VIVOSSPK22_241.wav,101080,tám mươi tám tám mươi chín
./train/waves/VIVOSSPK33/VIVOSSPK33_116.wav,265080,tuy nhiên theo tiến sĩ phạm tấn hạ phó trưởng phòng đào tạo một vài ngành có hồ sơ đăng ký tập trung hơn sẽ có điểm chuẩn cao hơn
./train/waves/VIVOSSPK22/VIVOSSPK22_110.wav,119080,cũng được trang trí bằng những màu sơn công nghiệp
./train/waves/VIVOSSPK31/VIVOSSPK31_039.wav,280080,khuyến khích các em có hoàn cảnh đặc biệt viết cũng là dịp để phát hiện những tài năng viết văn và bồi dưỡng nâng đỡ kịp thời
./train/waves/VIVOSSPK42/VIVOSSPK42_070.wav,112026,do vậy đã có nhiều trường hợp sản phụ chết rất thương tâm
./train/waves/VIVOSSPK10/VIVOSSPK10_R069.wav,60044,cả ban ngày
./train/waves/VIVOSSPK10/VIVOSSPK10_R102.wav,130044,cùng với những hành khách phần đông là lao động nghèo
./train/waves/VIVOSSPK42/VIVOSSPK42_186.wav,97026,vấn đề là con người đã chọn cách sống như thế nào
./train/waves/VIVOSSPK38/VIVOSSPK38_067.wav,261080,tôi đâu biết rằng sau những giọt nước mắt của thằng tôi là những giọt lệ âm thầm trào dâng trong lòng má
./train/waves/VIVOSSPK21/VIVOSSPK21_251.wav,92080,nhìn món ăn thấy ngon quá
./train/waves/VIVOSSPK01/VIVOSSPK01_R104.wav,142044,mà lợn có khi chi phí nuôi không đủ huề vốn
./train/waves/VIVOSSPK23/VIVOSSPK23_107.wav,152080,những người sơ tán được tuyên truyền là phải ra đi để tránh những cuộc ném bom của mỹ
